阳历日期,月份,日,周日,生肖年,农历月日,干支年,干支月,干支日,宜忌,黄历,生肖,星座,彭祖百忌,胎神占方,年五行,季节,月五行,星宿,日五行,节气,儒略日,回历,冲,煞,六曜,十二神
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,修造,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,动土,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,进人口,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,挂匾,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,入宅,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,移徙,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,安床,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,栽种,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,入殓,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,破土,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,安葬,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,除服,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,宜,成服,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,忌,开市,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
一九八八年,六月,二日,星期四,龙年,四月十八,戊辰年,丁巳月,戊子日,忌,立券,龙,双子座,戊不受田田主不祥，子不问卜自惹祸殃。,房床碓外正北,大林木,夏季,沙中土,斗宿（斗木獬）,霹雷火,小满 第13天 （距下一个节气“芒种”，还有3天）,2447320.5,1408年10月16日,马 （壬午）,南,先负,危执位
