阳历日期,月份,日,周日,生肖年,农历月日,干支年,干支月,干支日,宜忌,黄历,黄历.1,生肖,星座,彭祖百忌,胎神占方,年五行,季节,月五行,星宿,日五行,节气,儒略日,回历,冲,煞,六曜,十二神
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,宜,立券,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,宜,挂匾,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,宜,入宅,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,宜,移徙,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,宜,安床,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,宜,栽种,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,宜,动土,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,忌,安葬,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,忌,行丧,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,忌,伐木,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
一九八六年,七月,二日,星期三,虎年,五月廿六,丙寅年,甲午月,丁未日,节日国际体育记者日,忌,作梁,虎,巨蟹座,丁不剃头头必生疮，未不服药毒气入肠。,仓库厕房内东,炉中火,夏季,沙中金,毕宿（毕月乌）,天河水,夏至 第11天 （距下一个节气“小暑”，还有5天）,2446619.5,1406年10月24日,牛 （辛丑）,西,赤口,除执位
