年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,在位皇帝丙,在位皇帝丁,年号甲,年号乙,年号丙
公元前五百二十四年,-524,丁丑,牛,周朝,东周,春秋,东周景王姬贵,,,,景王二十一年,,
公元前五百二十三年,-523,戊寅,虎,周朝,东周,春秋,东周景王姬贵,,,,景王二十二年,,
公元前五百二十二年,-522,己卯,兔,周朝,东周,春秋,东周景王姬贵,,,,景王二十三年,,
公元前五百二十一年,-521,庚辰,龙,周朝,东周,春秋,东周景王姬贵,,,,景王二十四年,,
公元前五百二十年,-520,辛巳,蛇,周朝,东周,春秋,东周景王敬王,东周悼王姬猛,东周景王姬贵,,景王二十五年,,
公元前五百一十九年,-519,壬午,马,周朝,东周,春秋,东周敬王姬匄,,,,敬王元年,,
公元前五百一十八年,-518,癸未,羊,周朝,东周,春秋,东周敬王姬匄,,,,敬王二年,,
公元前五百一十七年,-517,甲申,猴,周朝,东周,春秋,东周敬王姬匄,,,,敬王三年,,
公元前五百一十六年,-516,乙酉,鸡,周朝,东周,春秋,东周敬王姬匄,,,,敬王四年,,
公元前五百一十五年,-515,丙戌,狗,周朝,东周,春秋,东周敬王姬匄,,,,敬王五年,,
公元前五百一十四年,-514,丁亥,猪,周朝,东周,春秋,东周敬王姬匄,,,,敬王六年,,
公元前五百一十三年,-513,戊子,鼠,周朝,东周,春秋,东周敬王姬匄,,,,敬王七年,,
公元前五百一十二年,-512,己丑,牛,周朝,东周,春秋,东周敬王姬匄,,,,敬王八年,,
公元前五百一十一年,-511,庚寅,虎,周朝,东周,春秋,东周敬王姬匄,,,,敬王九年,,
公元前五百一十年,-510,辛卯,兔,周朝,东周,春秋,东周敬王姬匄,,,,敬王十年,,
公元前五百零九年,-509,壬辰,龙,周朝,东周,春秋,东周敬王姬匄,,,,敬王十一年,定公元年,
公元前五百零八年,-508,癸巳,蛇,周朝,东周,春秋,东周敬王姬匄,,,,敬王十二年,定公二年,
公元前五百零七年,-507,甲午,马,周朝,东周,春秋,东周敬王姬匄,,,,敬王十三年,定公三年,
公元前五百零六年,-506,乙未,羊,周朝,东周,春秋,东周敬王姬匄,,,,敬王十四年,定公四年,
公元前五百零五年,-505,丙申,猴,周朝,东周,春秋,东周敬王姬匄,,,,敬王十五年,定公五年,
公元前五百零四年,-504,丁酉,鸡,周朝,东周,春秋,东周敬王姬匄,,,,敬王十六年,定公六年,
公元前五百零三年,-503,戊戌,狗,周朝,东周,春秋,东周敬王姬匄,,,,敬王十七年,定公七年,
公元前五百零二年,-502,己亥,猪,周朝,东周,春秋,东周敬王姬匄,,,,敬王十八年,定公八年,
公元前五百零一年,-501,庚子,鼠,周朝,东周,春秋,东周敬王姬匄,,,,敬王十九年,,
公元前五百年,-500,辛丑,牛,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十年,,
公元前四百九十九年,-499,壬寅,虎,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十一年,,
公元前四百九十八年,-498,癸卯,兔,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十二年,,
公元前四百九十七年,-497,甲辰,龙,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十三年,,
公元前四百九十六年,-496,乙巳,蛇,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十四年,,
公元前四百九十五年,-495,丙午,马,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十五年,,
公元前四百九十四年,-494,丁未,羊,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十六年,,
公元前四百九十三年,-493,戊申,猴,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十七年,,
公元前四百九十二年,-492,己酉,鸡,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十八年,,
公元前四百九十一年,-491,庚戌,狗,周朝,东周,春秋,东周敬王姬匄,,,,敬王二十九年,,
公元前四百九十年,-490,辛亥,猪,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十年,,
公元前四百八十九年,-489,壬子,鼠,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十一年,,
公元前四百八十八年,-488,癸丑,牛,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十二年,,
公元前四百八十七年,-487,甲寅,虎,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十三年,,
公元前四百八十六年,-486,乙卯,兔,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十四年,,
公元前四百八十五年,-485,丙辰,龙,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十五年,,
公元前四百八十四年,-484,丁巳,蛇,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十六年,,
公元前四百八十三年,-483,戊午,马,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十七年,,
公元前四百八十二年,-482,己未,羊,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十八年,,
公元前四百八十一年,-481,庚申,猴,周朝,东周,春秋,东周敬王姬匄,,,,敬王三十九年,,
公元前四百八十年,-480,辛酉,鸡,周朝,东周,春秋,东周敬王姬匄,,,,敬王四十年,,
公元前四百七十九年,-479,壬戌,狗,周朝,东周,春秋,东周敬王姬匄,,,,敬王四十一年,,
公元前四百七十八年,-478,癸亥,猪,周朝,东周,春秋,东周敬王姬匄,,,,敬王四十二年,,
公元前四百七十七年,-477,甲子,鼠,周朝,东周,春秋,东周敬王姬匄,,,,敬王四十三年,,
公元前四百七十六年,-476,乙丑,牛,周朝,东周,春秋,东周元王姬仁,东周敬王姬匄,,,敬王四十四年,,
公元前四百七十五年,-475,丙寅,虎,周朝,东周,战国,东周元王姬仁,,,,元王元年,,
公元前四百七十四年,-474,丁卯,兔,周朝,东周,战国,东周元王姬仁,,,,元王二年,,
公元前四百七十三年,-473,戊辰,龙,周朝,东周,战国,东周元王姬仁,,,,元王三年,,
公元前四百七十二年,-472,己巳,蛇,周朝,东周,战国,东周元王姬仁,,,,元王四年,,
公元前四百七十一年,-471,庚午,马,周朝,东周,战国,东周元王姬仁,,,,元王五年,,
公元前四百七十年,-470,辛未,羊,周朝,东周,战国,东周元王姬仁,,,,元王六年,,
公元前四百六十九年,-469,壬申,猴,周朝,东周,战国,东周贞定王姬介,东周元王姬仁,,,元王七年,,
公元前四百六十八年,-468,癸酉,鸡,周朝,东周,战国,东周贞定王姬介,,,,贞定王元年,,
公元前四百六十七年,-467,甲戌,狗,周朝,东周,战国,东周贞定王姬介,,,,贞定王二年,,
公元前四百六十六年,-466,乙亥,猪,周朝,东周,战国,东周贞定王姬介,,,,贞定王三年,,
公元前四百六十五年,-465,丙子,鼠,周朝,东周,战国,东周贞定王姬介,,,,贞定王四年,,
公元前四百六十四年,-464,丁丑,牛,周朝,东周,战国,东周贞定王姬介,,,,贞定王五年,,
公元前四百六十三年,-463,戊寅,虎,周朝,东周,战国,东周贞定王姬介,,,,贞定王六年,,
公元前四百六十二年,-462,己卯,兔,周朝,东周,战国,东周贞定王姬介,,,,贞定王七年,,
公元前四百六十一年,-461,庚辰,龙,周朝,东周,战国,东周贞定王姬介,,,,贞定王八年,,
公元前四百六十年,-460,辛巳,蛇,周朝,东周,战国,东周贞定王姬介,,,,贞定王九年,,
公元前四百五十九年,-459,壬午,马,周朝,东周,战国,东周贞定王姬介,,,,贞定王十年,,
公元前四百五十八年,-458,癸未,羊,周朝,东周,战国,东周贞定王姬介,,,,贞定王十一年,,
公元前四百五十七年,-457,甲申,猴,周朝,东周,战国,东周贞定王姬介,,,,贞定王十二年,,
公元前四百五十六年,-456,乙酉,鸡,周朝,东周,战国,东周贞定王姬介,,,,贞定王十三年,,
公元前四百五十五年,-455,丙戌,狗,周朝,东周,战国,东周贞定王姬介,,,,贞定王十四年,,
公元前四百五十四年,-454,丁亥,猪,周朝,东周,战国,东周贞定王姬介,,,,贞定王十五年,,
公元前四百五十三年,-453,戊子,鼠,周朝,东周,战国,东周贞定王姬介,,,,贞定王十六年,,
公元前四百五十二年,-452,己丑,牛,周朝,东周,战国,东周贞定王姬介,,,,贞定王十七年,,
公元前四百五十一年,-451,庚寅,虎,周朝,东周,战国,东周贞定王姬介,,,,贞定王十八年,,
公元前四百五十年,-450,辛卯,兔,周朝,东周,战国,东周贞定王姬介,,,,贞定王十九年,,
公元前四百四十九年,-449,壬辰,龙,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十年,,
公元前四百四十八年,-448,癸巳,蛇,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十一年,,
公元前四百四十七年,-447,甲午,马,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十二年,,
公元前四百四十六年,-446,乙未,羊,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十三年,,
公元前四百四十五年,-445,丙申,猴,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十四年,,
公元前四百四十四年,-444,丁酉,鸡,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十五年,,
公元前四百四十三年,-443,戊戌,狗,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十六年,,
公元前四百四十二年,-442,己亥,猪,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十七年,,
公元前四百四十一年,-441,庚子,鼠,周朝,东周,战国,东周考王姬嵬,东周思王姬叔,东周哀王姬去疾,东周贞定王姬介,贞定王二十八年,,
公元前四百四十年,-440,辛丑,牛,周朝,东周,战国,东周考王姬嵬,,,,考王元年,,
公元前四百三十九年,-439,壬寅,虎,周朝,东周,战国,东周考王姬嵬,,,,考王二年,,
公元前四百三十八年,-438,癸卯,兔,周朝,东周,战国,东周考王姬嵬,,,,考王三年,,
公元前四百三十七年,-437,甲辰,龙,周朝,东周,战国,东周考王姬嵬,,,,考王四年,,
公元前四百三十六年,-436,乙巳,蛇,周朝,东周,战国,东周考王姬嵬,,,,考王五年,,
公元前四百三十五年,-435,丙午,马,周朝,东周,战国,东周考王姬嵬,,,,考王六年,,
公元前四百三十四年,-434,丁未,羊,周朝,东周,战国,东周考王姬嵬,,,,考王七年,,
公元前四百三十三年,-433,戊申,猴,周朝,东周,战国,东周考王姬嵬,,,,考王八年,,
公元前四百三十二年,-432,己酉,鸡,周朝,东周,战国,东周考王姬嵬,,,,考王九年,,
公元前四百三十一年,-431,庚戌,狗,周朝,东周,战国,东周考王姬嵬,,,,考王十年,,
公元前四百三十年,-430,辛亥,猪,周朝,东周,战国,东周考王姬嵬,,,,考王十一年,,
公元前四百二十九年,-429,壬子,鼠,周朝,东周,战国,东周考王姬嵬,,,,考王十二年,,
公元前四百二十八年,-428,癸丑,牛,周朝,东周,战国,东周考王姬嵬,,,,考王十三年,,
公元前四百二十七年,-427,甲寅,虎,周朝,东周,战国,东周考王姬嵬,,,,考王十四年,,
公元前四百二十六年,-426,乙卯,兔,周朝,东周,战国,东周威烈王姬午,东周考王姬嵬,,,考王十五年,,
公元前四百二十五年,-425,丙辰,龙,周朝,东周,战国,东周威烈王姬午,,,,威烈王元年,,
公元前四百二十四年,-424,丁巳,蛇,周朝,东周,战国,东周威烈王姬午,,,,威烈王二年,,
公元前四百二十三年,-423,戊午,马,周朝,东周,战国,东周威烈王姬午,,,,威烈王三年,,
公元前四百二十二年,-422,己未,羊,周朝,东周,战国,东周威烈王姬午,,,,威烈王四年,,
公元前四百二十一年,-421,庚申,猴,周朝,东周,战国,东周威烈王姬午,,,,威烈王五年,,
公元前四百二十年,-420,辛酉,鸡,周朝,东周,战国,东周威烈王姬午,,,,威烈王六年,,
公元前四百一十九年,-419,壬戌,狗,周朝,东周,战国,东周威烈王姬午,,,,威烈王七年,,
公元前四百一十八年,-418,癸亥,猪,周朝,东周,战国,东周威烈王姬午,,,,威烈王八年,,
公元前四百一十七年,-417,甲子,鼠,周朝,东周,战国,东周威烈王姬午,,,,威烈王九年,,
公元前四百一十六年,-416,乙丑,牛,周朝,东周,战国,东周威烈王姬午,,,,威烈王十年,,
公元前四百一十五年,-415,丙寅,虎,周朝,东周,战国,东周威烈王姬午,,,,威烈王十一年,,
公元前四百一十四年,-414,丁卯,兔,周朝,东周,战国,东周威烈王姬午,,,,威烈王十二年,,
公元前四百一十三年,-413,戊辰,龙,周朝,东周,战国,东周威烈王姬午,,,,威烈王十三年,,
公元前四百一十二年,-412,己巳,蛇,周朝,东周,战国,东周威烈王姬午,,,,威烈王十四年,,
公元前四百一十一年,-411,庚午,马,周朝,东周,战国,东周威烈王姬午,,,,威烈王十五年,,
公元前四百一十年,-410,辛未,羊,周朝,东周,战国,东周威烈王姬午,,,,威烈王十六年,,
公元前四百零九年,-409,壬申,猴,周朝,东周,战国,东周威烈王姬午,,,,威烈王十七年,,
公元前四百零八年,-408,癸酉,鸡,周朝,东周,战国,东周威烈王姬午,,,,威烈王十八年,,
公元前四百零七年,-407,甲戌,狗,周朝,东周,战国,东周威烈王姬午,,,,威烈王十九年,,
公元前四百零六年,-406,乙亥,猪,周朝,东周,战国,东周威烈王姬午,,,,威烈王二十年,,
公元前四百零五年,-405,丙子,鼠,周朝,东周,战国,东周威烈王姬午,,,,威烈王二十一年,,
公元前四百零四年,-404,丁丑,牛,周朝,东周,战国,东周威烈王姬午,,,,威烈王二十二年,,
公元前四百零三年,-403,戊寅,虎,周朝,东周,战国,东周威烈王姬午,,,,威烈王二十三年,,
公元前四百零二年,-402,己卯,兔,周朝,东周,战国,东周安王姬骄,东周威烈王姬午,,,威烈王二十四年,,
公元前四百零一年,-401,庚辰,龙,周朝,东周,战国,东周安王姬骄,,,,安王元年,,
公元前四百年,-400,辛巳,蛇,周朝,东周,战国,东周安王姬骄,,,,安王二年,,
公元前三百九十九年,-399,壬午,马,周朝,东周,战国,东周安王姬骄,,,,安王三年,,
公元前三百九十八年,-398,癸未,羊,周朝,东周,战国,东周安王姬骄,,,,安王四年,,
公元前三百九十七年,-397,甲申,猴,周朝,东周,战国,东周安王姬骄,,,,安王五年,,
公元前三百九十六年,-396,乙酉,鸡,周朝,东周,战国,东周安王姬骄,,,,安王六年,,
公元前三百九十五年,-395,丙戌,狗,周朝,东周,战国,东周安王姬骄,,,,安王七年,,
公元前三百九十四年,-394,丁亥,猪,周朝,东周,战国,东周安王姬骄,,,,安王八年,,
公元前三百九十三年,-393,戊子,鼠,周朝,东周,战国,东周安王姬骄,,,,安王九年,,
公元前三百九十二年,-392,己丑,牛,周朝,东周,战国,东周安王姬骄,,,,安王十年,,
公元前三百九十一年,-391,庚寅,虎,周朝,东周,战国,东周安王姬骄,,,,安王十一年,,
公元前三百九十年,-390,辛卯,兔,周朝,东周,战国,东周安王姬骄,,,,安王十二年,,
公元前三百八十九年,-389,壬辰,龙,周朝,东周,战国,东周安王姬骄,,,,安王十三年,,
公元前三百八十八年,-388,癸巳,蛇,周朝,东周,战国,东周安王姬骄,,,,安王十四年,,
公元前三百八十七年,-387,甲午,马,周朝,东周,战国,东周安王姬骄,,,,安王十五年,,
公元前三百八十六年,-386,乙未,羊,周朝,东周,战国,东周安王姬骄,,,,安王十六年,,
公元前三百八十五年,-385,丙申,猴,周朝,东周,战国,东周安王姬骄,,,,安王十七年,,
公元前三百八十四年,-384,丁酉,鸡,周朝,东周,战国,东周安王姬骄,,,,安王十八年,,
公元前三百八十三年,-383,戊戌,狗,周朝,东周,战国,东周安王姬骄,,,,安王十九年,,
公元前三百八十二年,-382,己亥,猪,周朝,东周,战国,东周安王姬骄,,,,安王二十年,,
公元前三百八十一年,-381,庚子,鼠,周朝,东周,战国,东周安王姬骄,,,,安王二十一年,,
公元前三百八十年,-380,辛丑,牛,周朝,东周,战国,东周安王姬骄,,,,安王二十二年,,
公元前三百七十九年,-379,壬寅,虎,周朝,东周,战国,东周安王姬骄,,,,安王二十三年,,
公元前三百七十八年,-378,癸卯,兔,周朝,东周,战国,东周安王姬骄,,,,安王二十四年,,
公元前三百七十七年,-377,甲辰,龙,周朝,东周,战国,东周安王姬骄,,,,安王二十五年,,
公元前三百七十六年,-376,乙巳,蛇,周朝,东周,战国,东周烈王姬喜,东周安王姬骄,,,安王二十六年,,
公元前三百七十五年,-375,丙午,马,周朝,东周,战国,东周烈王姬喜,,,,烈王元年,,
公元前三百七十四年,-374,丁未,羊,周朝,东周,战国,东周烈王姬喜,,,,烈王二年,,
公元前三百七十三年,-373,戊申,猴,周朝,东周,战国,东周烈王姬喜,,,,烈王三年,,
公元前三百七十二年,-372,己酉,鸡,周朝,东周,战国,东周烈王姬喜,,,,烈王四年,,
公元前三百七十一年,-371,庚戌,狗,周朝,东周,战国,东周烈王姬喜,,,,烈王五年,,
